   SAO	 m(phot)	 m(vis)	 dup&var	 RA(deg)	 DEC(deg)	 RAchange(deg/yr)	 DECchange(deg/yr)
 10671	 99.90	 5.60		 0	 348.90741220	 70.88824478	 0.00001470	 0.00000083
 10737	 99.90	 5.60		 0	 351.81931768	 70.35980275	 0.00009912	 -0.00000167
 10814	 99.90	 6.00		 0	 354.79364350	 75.29280727	 0.00001386	 0.00000306
 10818	 99.90	 3.40		 0	 354.83705996	 77.63240563	 -0.00008610	 0.00004139
 10937	 99.90	 6.00		 2	 0.65054167	 66.09896793	 0.00000714	 -0.00000028
 10954	 99.90	 6.00		 0	 1.05679639	 62.28787476	 -0.00000252	 0.00000167
 10956	 99.90	 5.80		 0	 1.17483777	 67.16665453	 0.00006636	 0.00000861
 10962	 99.90	 5.90		 0	 1.27567552	 61.31410514	 0.00000840	 0.00000139
 10978	 99.90	 5.50		 0	 1.61074651	 64.19620879	 0.00000630	 -0.00000028
 11084	 99.90	 5.80		 2	 4.23800130	 61.53330283	 -0.00000042	 -0.00000028
 11172	 99.90	 5.40		 0	 6.19786488	 61.83112239	 0.00000714	 -0.00000028
 11256	 99.90	 4.20		 0	 8.24985723	 62.93180049	 0.00000084	 -0.00000083
 11291	 99.90	 5.80		 0	 9.11384065	 60.32624075	 -0.00000042	 -0.00000083
 11336	 99.90	 5.90		 0	 10.51482896	 66.14761836	 -0.00000420	 -0.00000250
 11424	 99.90	 5.50		 0	 12.68161288	 64.24754525	 0.00001806	 -0.00000361
 11444	 99.90	 4.90		 2	 13.26728825	 61.12411342	 -0.00004116	 0.00004778
 11482	 99.90	 2.80		 4	 14.17714670	 60.71671621	 0.00001470	 -0.00000167
 11484	 99.90	 5.50		 2	 14.19617578	 60.36277427	 0.00001848	 -0.00000222
 11502	 99.90	 6.00		 0	 14.62943001	 66.35211796	 0.00002982	 -0.00000167
 11551	 99.90	 5.90		 2	 15.90401003	 61.07506076	 -0.00000336	 0.00000111
 11557	 99.90	 5.90		 0	 16.08163102	 61.58031117	 -0.00004116	 -0.00000611
 11612	 99.90	 5.30		 0	 17.66398975	 68.77879677	 0.00002814	 -0.00000667
 11615	 99.90	 5.50		 0	 17.85657698	 64.20292271	 0.00002562	 -0.00000361
 11617	 99.90	 5.50		 0	 17.92261039	 65.01881204	 0.00001596	 -0.00000444
 11751	 99.90	 5.00		 0	 21.48348248	 68.13001867	 0.00005670	 0.00000694
 11919	 99.90	 5.50		 0	 25.58552601	 68.04305224	 0.00003906	 -0.00000250
 11941	 99.90	 5.80		 2	 25.83201769	 60.55121042	 0.00000462	 -0.00000556
 11983	 99.90	 5.70		 0	 26.93687610	 63.85231424	 0.00036960	 -0.00007083
 12031	 99.90	 3.40		 0	 28.59880208	 63.67009755	 0.00002016	 -0.00000583
 12038	 99.90	 5.00		 0	 28.99978960	 68.68517715	 0.00000714	 -0.00000389
 12065	 99.90	 6.00		 0	 29.63856501	 61.69795549	 0.00000840	 -0.00000222
 12076	 99.90	 5.20		 2	 29.90834400	 64.62154817	 0.00002142	 -0.00000556
 12095	 99.90	 5.90		 0	 30.71954023	 64.90147597	 -0.00000084	 -0.00000417
 12097	 99.90	 5.60		 0	 30.75120705	 64.38999521	 0.00000294	 -0.00000139
 12298	 99.90	 4.60		 2	 37.26655482	 67.40240211	 -0.00001218	 0.00000306
 12421	 99.90	 5.80		 0	 41.20696060	 67.82466013	 0.00001092	 -0.00000889
 12472	 99.90	 6.00		 4	 42.99489895	 68.88836926	 0.00000168	 -0.00000333
 12517	 99.90	 5.60		 0	 43.98728226	 61.52119164	 0.00008526	 0.00000861
 12608	 99.90	 5.80		 0	 46.82894195	 64.05779245	 -0.00001134	 0.00000222
 12704	 99.90	 4.80		 0	 49.99732635	 65.65237925	 0.00001008	 -0.00000361
 12743	 99.90	 5.50		 0	 51.16889769	 64.58608150	 -0.00000420	 0.00000083
 12874	 99.90	 5.30		 0	 55.53881570	 63.21679782	 -0.00001218	 0.00000444
